id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7349421,Comfortable private room in Harlem,31469635,Ricky,Manhattan,Harlem,40.82446,-73.94711,Private room,84,30,4,2019-07-01,0.06,2,0
7359313,Luxury Doorman Apt in Midtown East!,38445572,Jennifer,Manhattan,Murray Hill,40.74801,-73.97391,Private room,130,30,2,2015-09-21,0.03,1,0
7361434,Ditmas Park Spacious Studio Apt,38569616,Quinn,Brooklyn,Flatbush,40.64871,-73.95981,Entire home/apt,100,30,2,2015-12-30,0.03,1,0
7362186,"PRIVATE BEDROOM TIMES SQ, CLOSE to Everything!",38572947,Focus,Manhattan,Hell's Kitchen,40.76585,-73.98726,Private room,150,30,51,2016-10-21,0.7,1,364
7363109,Manhattan Getaway - LES,34834676,Loreta,Manhattan,Lower East Side,40.7164,-73.98532,Entire home/apt,185,5,28,2021-07-14,0.78,1,153
7364008,Bohéme 1BR steps from Prospect Park,38583557,Ian,Brooklyn,Flatbush,40.65349,-73.95527,Entire home/apt,99,30,2,2015-08-17,0.03,1,0
7366831,"Sunny, big room available in 3 BDRM",38599690,Chantal,Manhattan,East Harlem,40.80023,-73.93822,Private room,35,30,1,2015-07-22,0.01,1,0
7367039,Welcome to our Luxury home,1472993,Yoav,Manhattan,Financial District,40.70644,-74.00774,Entire home/apt,150,30,6,2015-08-27,0.09,1,0
7367165,Sunny Room Overlooking Harlem,4964848,Jakob,Manhattan,Harlem,40.82673,-73.94078,Private room,35,30,2,2016-02-02,0.03,1,0
7367484,Huge private room with bathroom,31452390,Jennifer,Manhattan,Washington Heights,40.83218,-73.94434,Private room,61,30,1,2015-07-23,0.01,1,0
7368173,Lovely Brooklyn Brownstone,4901287,Chardean,Brooklyn,Park Slope,40.67428,-73.98194,Entire home/apt,500,30,1,2021-07-16,1.0,1,168
7368190,"Bright, Airy, Quiet 1 Bd",3890297,Babita,Manhattan,Kips Bay,40.73943,-73.97957,Entire home/apt,139,30,24,2019-10-20,0.35,1,27
7376952,Brownstone@Central Park❤️Manhattan historic area,32004384,Karen,Manhattan,Upper West Side,40.77873,-73.97694,Private room,160,30,12,2019-06-09,0.35,1,362
7378773,Clean and Sunny Brooklyn apt!!,11129295,Melissa,Brooklyn,Bushwick,40.70179,-73.92807,Entire home/apt,98,30,1,2015-09-04,0.01,1,0
7379929,Great E.Village Apt. Best Location!,27283579,Alexi,Manhattan,East Village,40.72609,-73.99069,Private room,119,30,3,2015-07-29,0.04,1,0
7381038,South Slope Modern + Spacious with Outdoor Deck,16283468,Philip,Brooklyn,Sunset Park,40.66075,-73.99191,Private room,81,2,152,2021-06-23,2.16,2,62
7381236,Authentic Brownstone New York Living,33365473,Paul,Brooklyn,Bedford-Stuyvesant,40.68269,-73.94207,Entire home/apt,350,30,55,2020-11-02,0.78,2,334
7381893,casa gumamela - cozy + bright room,12866178,Klara,Brooklyn,East New York,40.65965,-73.89428,Private room,38,2,11,2021-03-01,0.24,3,309
7382396,Bushwick Oasis,38672291,Daisy,Brooklyn,Bedford-Stuyvesant,40.69282,-73.93483,Private room,64,1,24,2016-06-04,0.33,1,0
7382982,Bright double room in West Village,19504544,Saga,Manhattan,West Village,40.72911,-74.00338,Private room,120,30,2,2015-08-21,0.03,1,0
7383380,Large loft in Bushwick,4907734,Paul,Brooklyn,Bushwick,40.70109,-73.93972,Private room,49,30,14,2018-07-30,0.22,1,0
7383804,1 room available for in midtown NYC,38678875,Stanley,Manhattan,Midtown,40.75277,-73.96686,Private room,70,30,2,2015-07-31,0.03,1,0
7385692,"Huge 1 bdr, convenient location!",38404959,Maria,Queens,Ditmars Steinway,40.7792,-73.90747,Private room,85,30,3,2018-09-05,0.04,2,365
7386119,"Large, sunny, quiet, 2 bed apt",12517331,Robert,Brooklyn,Prospect Heights,40.67883,-73.97079,Entire home/apt,75,30,4,2015-11-28,0.05,1,0
7387919,2 bed apartment 2 blocks from 42 st,37993952,Andrew,Manhattan,Hell's Kitchen,40.75952,-73.99433,Private room,150,30,1,2015-07-23,0.01,1,0
7389120,Boutique apartment  by the Ocean,7365834,Alex,Brooklyn,Sheepshead Bay,40.58418,-73.95929,Entire home/apt,169,2,57,2020-03-14,1.18,5,356
7396662,Chateau Ludlow,7489344,Noëmi,Manhattan,Lower East Side,40.71574,-73.98962,Private room,120,30,18,2016-09-09,0.24,1,0
7397237,~Sunny quiet apartment in Brooklyn~,38757107,Joanne,Brooklyn,Bedford-Stuyvesant,40.68811,-73.94301,Entire home/apt,100,30,2,2015-09-06,0.03,1,0
7397699,Room in the heart of Williamsburg!,38759330,Nathaniel,Brooklyn,Williamsburg,40.7122,-73.9511,Private room,35,30,3,2015-09-13,0.04,1,0
7398144,2 Bedroom in Heart of Williamsburg,7983308,Michael,Brooklyn,Williamsburg,40.71613,-73.95643,Entire home/apt,278,30,1,2015-08-17,0.01,1,0
7398163,Furnished BR in a 2BR apt Gramercy,28269324,Daniel,Manhattan,Stuyvesant Town,40.73379,-73.98031,Private room,45,30,2,2015-08-31,0.03,1,0
7398507,Chic apartment on Central Park West,5898139,Nicholas,Manhattan,Upper West Side,40.8001,-73.96082,Entire home/apt,185,30,1,2015-09-02,0.01,1,0
7399036,Amazing apartment available for a year to rent!,38706510,Sarah,Manhattan,Upper West Side,40.78098,-73.97888,Entire home/apt,80,30,3,2019-11-18,0.06,2,0
7399178,Cozy Room in the LOWER EAST SIDE!,38767720,Caitlin,Manhattan,Lower East Side,40.71954,-73.98657,Private room,97,30,2,2015-12-29,0.03,1,0
7399754,Spacious 1BR,4343834,Sean,Brooklyn,Carroll Gardens,40.68299,-73.99841,Entire home/apt,150,30,6,2016-08-02,0.08,1,0
7401048,Big Cozy Room 2 Blocks From Trains,10832128,Josh,Brooklyn,Sunset Park,40.64608,-74.00999,Private room,47,30,2,2015-11-02,0.03,1,0
7402303,Artists' Sunny 1-BR Apt in Astoria,11962385,Dusan,Queens,Astoria,40.76764,-73.92034,Entire home/apt,120,30,3,2015-08-20,0.04,1,0
7402597,Beautiful Bedroom Manhattan (LES),4376076,Dirk Damian,Manhattan,Lower East Side,40.71406,-73.98261,Private room,59,2,17,2020-02-20,0.24,1,0
7402608,Charming Williamsburg 1 Bedroom,38788236,William,Brooklyn,Williamsburg,40.70765,-73.94539,Entire home/apt,104,30,11,2015-12-16,0.16,1,0
7403613,Spacious NOMAD 1 BR for 4,1405974,Alexander,Manhattan,Midtown,40.74603,-73.98364,Entire home/apt,150,30,1,2015-08-07,0.01,1,0
7411044,"French charm at Château Village, Greenwich Village",38827405,John,Manhattan,West Village,40.72893,-74.00285,Private room,145,30,62,2018-04-21,0.96,1,0
7411421,Hip & Trendy Williamsburg 2 BR 2BA Apartment,3750905,Louis,Brooklyn,Williamsburg,40.71325,-73.9577,Entire home/apt,350,3,36,2021-06-13,0.51,1,318
7411499,Master Bedroom in Luxury Apartment,1023985,Andrew,Brooklyn,Williamsburg,40.71206,-73.95361,Private room,80,30,2,2015-08-03,0.03,1,0
7415905,Luxury Modern Brownstone Full Apt,38850307,Elwanda,Brooklyn,Bedford-Stuyvesant,40.68403,-73.94608,Entire home/apt,120,3,158,2020-02-16,2.21,1,233
